time,GFA.24-FI___329C.PV,GFA.24-TIC__312_.PV,GFA.24-PIT__323A.PV,GFA.24-AT___327_.PV,GFA.24-FIT__385_.PV,GFA.24-PIT__393_.PV,GFA.24-TIC__388C.PV,GFA.24-PIC__402_.PV,GFA.24-PIT__393_.PV,GFA.24-TIC__411_.PV,GFA.24-TIC__388C.PV,GFA.24-TIT__384_.PV,GFA.24-TIT__396_.PV,GFA.24-PIT__013_.PV,GFA.24-PDIT_367_.PV,,,,,,,,,,,,,,,,,,,,hydT,dewT,releff1,releff2,Cv
2020-01-15 13:00:00+01:00,8.190440178,28.94999695,51.21875,-18.56723213,6.175000191,0.48046875,207.1205902,3.908124924,0.48046875,49.59375,207.1205902,49.03125,184.875,4.612218857,0.512812495,80.35938069,171.5638898,184.875,90.67269587,36.22463198,80.35938069,90.67269587,45.04243228,1.68E+01,7.01E+02,3.37E+02,-2.20E+01,5.69E+01,1.18E+02,1.09E+00,1.15E+01,9.98E+01,5.13E-01,1.80E+01,-2.12E+01,-2.63E+01,9.99E-01,9.98E-01,1.01E-04
2020-01-15 19:00:00+01:00,8.095521927,28.90527344,51.3125,-18.4237442,6.217186928,0.52734375,207.4101715,3.879687309,0.52734375,49.59375,207.4101715,49.125,184.875,4.521656036,0.497343719,80.01524475,171.5366446,184.875,90.50463403,35.96182871,80.01524475,90.50463403,44.84434457,1.68E+01,6.98E+02,3.37E+02,-2.10E+01,5.74E+01,1.19E+02,1.06E+00,1.17E+01,9.98E+01,4.97E-01,1.81E+01,-2.10E+01,-2.62E+01,9.99E-01,1.00E+00,9.90E-05
2020-01-16 01:00:00+01:00,8.023283958,28.9535141,51.4375,-18.3199501,6.220312119,0.493749976,207.0058441,3.912187099,0.493749976,49.59375,207.0058441,49.40625,184.875,4.612218857,0.496874988,80.20251341,171.5852653,184.875,90.70598512,35.99732255,80.20251341,90.70598512,44.92363246,1.69E+01,6.99E+02,3.34E+02,-2.09E+01,5.74E+01,1.19E+02,1.10E+00,1.17E+01,9.98E+01,4.97E-01,1.77E+01,-2.13E+01,-2.64E+01,9.99E-01,1.00E+00,9.90E-05
2020-01-16 07:00:00+01:00,8.006058693,28.93945313,51.40662384,-17.80802727,6.209062576,0.487500072,206.4918365,3.912187099,0.487500072,50.09375,206.4918365,49.6875,184.875,4.521656036,0.511874974,80.26057864,171.6173399,184.875,90.74643633,35.87925854,80.26057864,90.74643633,44.8294109,1.69E+01,6.98E+02,3.30E+02,-2.03E+01,5.73E+01,1.19E+02,1.07E+00,1.17E+01,9.98E+01,5.12E-01,1.78E+01,-2.12E+01,-2.64E+01,9.99E-01,1.00E+00,1.01E-04
2020-01-16 13:00:00+01:00,8.060281754,28.06054688,51.46875,-17.96444702,6.209062576,0.508871973,206.5601044,3.912187099,0.508871973,50.09375,206.5601044,49.65995789,184.875,4.612218857,0.511406243,80.10055814,171.7506852,184.875,90.72887887,34.69844435,80.10055814,90.72887887,43.89008416,1.69E+01,6.65E+02,3.24E+02,-1.89E+01,5.79E+01,1.20E+02,1.09E+00,1.17E+01,9.98E+01,5.11E-01,1.65E+01,-2.20E+01,-2.74E+01,9.99E-01,1.00E+00,1.01E-04
2020-01-16 19:00:00+01:00,8.105186462,29.00273132,51.28125,-18.13249016,6.209062576,0.506250024,206.5595245,3.912187099,0.506250024,49.59375,206.5595245,49.3125,184.875,4.612218857,0.482812464,80.06262297,171.5358891,184.875,90.52285142,35.98325323,80.06262297,90.52285142,44.85654188,1.68E+01,7.02E+02,3.33E+02,-2.06E+01,5.71E+01,1.19E+02,1.09E+00,1.16E+01,9.98E+01,4.83E-01,1.84E+01,-2.09E+01,-2.59E+01,9.99E-01,1.00E+00,9.77E-05
2020-01-17 01:00:00+01:00,7.994256973,28.9921875,51.46875,-19.11650085,6.199687004,0.5390625,207.3293457,3.879687309,0.5390625,49.59375,207.3293457,48.90625,184.875,4.612218857,0.484687507,80.23015275,171.6292656,184.875,90.70347059,35.93540128,80.23015275,90.70347059,44.85298147,1.69E+01,7.00E+02,3.34E+02,-2.04E+01,5.74E+01,1.18E+02,1.08E+00,1.17E+01,9.98E+01,4.85E-01,1.82E+01,-2.10E+01,-2.61E+01,9.99E-01,1.00E+00,9.81E-05
2020-01-17 07:00:00+01:00,8.19494915,28.94999695,50.99737549,-17.98783493,6.191562653,0.501562476,206.805191,3.916249752,0.501562476,49.59375,206.805191,49.55987549,184.875,4.612218857,0.516093731,79.88229735,171.4802919,184.875,90.27289608,36.0920851,79.88229735,90.27289608,44.86296425,1.68E+01,7.03E+02,3.36E+02,-2.14E+01,5.67E+01,1.18E+02,1.09E+00,1.15E+01,9.98E+01,5.16E-01,1.85E+01,-2.09E+01,-2.59E+01,9.99E-01,1.00E+00,1.01E-04
2020-01-17 13:00:00+01:00,8.108181953,28.0710907,50.0099411,-18.11807442,6.202812195,0.514559567,207.2486725,3.912187099,0.514559567,49.59375,207.2486725,48.96875,184.875,4.521656036,0.502499998,79.72802054,171.5976315,184.875,90.28159287,34.9851275,79.72802054,90.28159287,43.99941591,1.67E+01,6.80E+02,3.33E+02,-2.04E+01,5.64E+01,1.20E+02,1.07E+00,1.13E+01,9.98E+01,5.02E-01,1.72E+01,-2.18E+01,-2.69E+01,9.99E-01,1.00E+00,9.98E-05
2020-01-17 19:00:00+01:00,8.155308723,28.48026466,50.0579567,-18.13124084,6.196562767,0.53749299,207.0951996,3.904062271,0.53749299,49.59375,207.0951996,48.9642067,184.875,4.560352802,0.517499983,79.69960327,171.5094824,184.875,90.16585514,35.4413627,79.69960327,90.16585514,44.32889683,1.67E+01,6.95E+02,3.35E+02,-2.06E+01,5.62E+01,1.19E+02,1.07E+00,1.13E+01,9.98E+01,5.17E-01,1.84E+01,-2.11E+01,-2.60E+01,9.99E-01,1.00E+00,1.01E-04
